total_conta,gorjeta,sexo,fumante,dia,tempo,quantidade
16.99,1.01,"Mulher","Nao","Dom","Jantar",2
10.34,1.66,"Homem","Nao","Dom","Jantar",2
21.01,3.5,"Homem","Nao","Dom","Jantar",3
23.68,3.31,"Homem","Nao","Dom","Jantar",2
24.59,3.61,"Mulher","Nao","Dom","Jantar",4
25.29,4.71,"Homem","Nao","Dom","Jantar",4
8.77,2,"Homem","Nao","Dom","Jantar",2
26.88,3.12,"Homem","Nao","Dom","Jantar",4
15.04,1.96,"Homem","Nao","Dom","Jantar",2
14.78,3.23,"Homem","Nao","Dom","Jantar",2
10.27,1.71,"Homem","Nao","Dom","Jantar",2
35.26,5,"Mulher","Nao","Dom","Jantar",4
15.42,1.57,"Homem","Nao","Dom","Jantar",2
18.43,3,"Homem","Nao","Dom","Jantar",4
14.83,3.02,"Mulher","Nao","Dom","Jantar",2
21.58,3.92,"Homem","Nao","Dom","Jantar",2
10.33,1.67,"Mulher","Nao","Dom","Jantar",3
16.29,3.71,"Homem","Nao","Dom","Jantar",3
16.97,3.5,"Mulher","Nao","Dom","Jantar",3
20.65,3.35,"Homem","Nao","Sab","Jantar",3
17.92,4.08,"Homem","Nao","Sab","Jantar",2
20.29,2.75,"Mulher","Nao","Sab","Jantar",2
15.77,2.23,"Mulher","Nao","Sab","Jantar",2
39.42,7.58,"Homem","Nao","Sab","Jantar",4
19.82,3.18,"Homem","Nao","Sab","Jantar",2
17.81,2.34,"Homem","Nao","Sab","Jantar",4
13.37,2,"Homem","Nao","Sab","Jantar",2
12.69,2,"Homem","Nao","Sab","Jantar",2
21.7,4.3,"Homem","Nao","Sab","Jantar",2
19.65,3,"Mulher","Nao","Sab","Jantar",2
9.55,1.45,"Homem","Nao","Sab","Jantar",2
18.35,2.5,"Homem","Nao","Sab","Jantar",4
15.06,3,"Mulher","Nao","Sab","Jantar",2
20.69,2.45,"Mulher","Nao","Sab","Jantar",4
17.78,3.27,"Homem","Nao","Sab","Jantar",2
24.06,3.6,"Homem","Nao","Sab","Jantar",3
16.31,2,"Homem","Nao","Sab","Jantar",3
16.93,3.07,"Mulher","Nao","Sab","Jantar",3
18.69,2.31,"Homem","Nao","Sab","Jantar",3
31.27,5,"Homem","Nao","Sab","Jantar",3
16.04,2.24,"Homem","Nao","Sab","Jantar",3
17.46,2.54,"Homem","Nao","Dom","Jantar",2
13.94,3.06,"Homem","Nao","Dom","Jantar",2
9.68,1.32,"Homem","Nao","Dom","Jantar",2
30.4,5.6,"Homem","Nao","Dom","Jantar",4
18.29,3,"Homem","Nao","Dom","Jantar",2
22.23,5,"Homem","Nao","Dom","Jantar",2
32.4,6,"Homem","Nao","Dom","Jantar",4
28.55,2.05,"Homem","Nao","Dom","Jantar",3
18.04,3,"Homem","Nao","Dom","Jantar",2
12.54,2.5,"Homem","Nao","Dom","Jantar",2
10.29,2.6,"Mulher","Nao","Dom","Jantar",2
34.81,5.2,"Mulher","Nao","Dom","Jantar",4
9.94,1.56,"Homem","Nao","Dom","Jantar",2
25.56,4.34,"Homem","Nao","Dom","Jantar",4
19.49,3.51,"Homem","Nao","Dom","Jantar",2
38.01,3,"Homem","Sim","Sab","Jantar",4
26.41,1.5,"Mulher","Nao","Sab","Jantar",2
11.24,1.76,"Homem","Sim","Sab","Jantar",2
48.27,6.73,"Homem","Nao","Sab","Jantar",4
20.29,3.21,"Homem","Sim","Sab","Jantar",2
13.81,2,"Homem","Sim","Sab","Jantar",2
11.02,1.98,"Homem","Sim","Sab","Jantar",2
18.29,3.76,"Homem","Sim","Sab","Jantar",4
17.59,2.64,"Homem","Nao","Sab","Jantar",3
20.08,3.15,"Homem","Nao","Sab","Jantar",3
16.45,2.47,"Mulher","Nao","Sab","Jantar",2
3.07,1,"Mulher","Sim","Sab","Jantar",1
20.23,2.01,"Homem","Nao","Sab","Jantar",2
15.01,2.09,"Homem","Sim","Sab","Jantar",2
12.02,1.97,"Homem","Nao","Sab","Jantar",2
17.07,3,"Mulher","Nao","Sab","Jantar",3
26.86,3.14,"Mulher","Sim","Sab","Jantar",2
25.28,5,"Mulher","Sim","Sab","Jantar",2
14.73,2.2,"Mulher","Nao","Sab","Jantar",2
10.51,1.25,"Homem","Nao","Sab","Jantar",2
17.92,3.08,"Homem","Sim","Sab","Jantar",2
27.2,4,"Homem","Nao","Qui","Almoço",4
22.76,3,"Homem","Nao","Qui","Almoço",2
17.29,2.71,"Homem","Nao","Qui","Almoço",2
19.44,3,"Homem","Sim","Qui","Almoço",2
16.66,3.4,"Homem","Nao","Qui","Almoço",2
10.07,1.83,"Mulher","Nao","Qui","Almoço",1
32.68,5,"Homem","Sim","Qui","Almoço",2
15.98,2.03,"Homem","Nao","Qui","Almoço",2
34.83,5.17,"Mulher","Nao","Qui","Almoço",4
13.03,2,"Homem","Nao","Qui","Almoço",2
18.28,4,"Homem","Nao","Qui","Almoço",2
24.71,5.85,"Homem","Nao","Qui","Almoço",2
21.16,3,"Homem","Nao","Qui","Almoço",2
28.97,3,"Homem","Sim","Sex","Jantar",2
22.49,3.5,"Homem","Nao","Sex","Jantar",2
5.75,1,"Mulher","Sim","Sex","Jantar",2
16.32,4.3,"Mulher","Sim","Sex","Jantar",2
22.75,3.25,"Mulher","Nao","Sex","Jantar",2
40.17,4.73,"Homem","Sim","Sex","Jantar",4
27.28,4,"Homem","Sim","Sex","Jantar",2
12.03,1.5,"Homem","Sim","Sex","Jantar",2
21.01,3,"Homem","Sim","Sex","Jantar",2
12.46,1.5,"Homem","Nao","Sex","Jantar",2
11.35,2.5,"Mulher","Sim","Sex","Jantar",2
15.38,3,"Mulher","Sim","Sex","Jantar",2
44.3,2.5,"Mulher","Sim","Sab","Jantar",3
22.42,3.48,"Mulher","Sim","Sab","Jantar",2
20.92,4.08,"Mulher","Nao","Sab","Jantar",2
15.36,1.64,"Homem","Sim","Sab","Jantar",2
20.49,4.06,"Homem","Sim","Sab","Jantar",2
25.21,4.29,"Homem","Sim","Sab","Jantar",2
18.24,3.76,"Homem","Nao","Sab","Jantar",2
14.31,4,"Mulher","Sim","Sab","Jantar",2
14,3,"Homem","Nao","Sab","Jantar",2
7.25,1,"Mulher","Nao","Sab","Jantar",1
38.07,4,"Homem","Nao","Dom","Jantar",3
23.95,2.55,"Homem","Nao","Dom","Jantar",2
25.71,4,"Mulher","Nao","Dom","Jantar",3
17.31,3.5,"Mulher","Nao","Dom","Jantar",2
29.93,5.07,"Homem","Nao","Dom","Jantar",4
10.65,1.5,"Mulher","Nao","Qui","Almoço",2
12.43,1.8,"Mulher","Nao","Qui","Almoço",2
24.08,2.92,"Mulher","Nao","Qui","Almoço",4
11.69,2.31,"Homem","Nao","Qui","Almoço",2
13.42,1.68,"Mulher","Nao","Qui","Almoço",2
14.26,2.5,"Homem","Nao","Qui","Almoço",2
15.95,2,"Homem","Nao","Qui","Almoço",2
12.48,2.52,"Mulher","Nao","Qui","Almoço",2
29.8,4.2,"Mulher","Nao","Qui","Almoço",6
8.52,1.48,"Homem","Nao","Qui","Almoço",2
14.52,2,"Mulher","Nao","Qui","Almoço",2
11.38,2,"Mulher","Nao","Qui","Almoço",2
22.82,2.18,"Homem","Nao","Qui","Almoço",3
19.08,1.5,"Homem","Nao","Qui","Almoço",2
20.27,2.83,"Mulher","Nao","Qui","Almoço",2
11.17,1.5,"Mulher","Nao","Qui","Almoço",2
12.26,2,"Mulher","Nao","Qui","Almoço",2
18.26,3.25,"Mulher","Nao","Qui","Almoço",2
8.51,1.25,"Mulher","Nao","Qui","Almoço",2
10.33,2,"Mulher","Nao","Qui","Almoço",2
14.15,2,"Mulher","Nao","Qui","Almoço",2
16,2,"Homem","Sim","Qui","Almoço",2
13.16,2.75,"Mulher","Nao","Qui","Almoço",2
17.47,3.5,"Mulher","Nao","Qui","Almoço",2
34.3,6.7,"Homem","Nao","Qui","Almoço",6
41.19,5,"Homem","Nao","Qui","Almoço",5
27.05,5,"Mulher","Nao","Qui","Almoço",6
16.43,2.3,"Mulher","Nao","Qui","Almoço",2
8.35,1.5,"Mulher","Nao","Qui","Almoço",2
18.64,1.36,"Mulher","Nao","Qui","Almoço",3
11.87,1.63,"Mulher","Nao","Qui","Almoço",2
9.78,1.73,"Homem","Nao","Qui","Almoço",2
7.51,2,"Homem","Nao","Qui","Almoço",2
14.07,2.5,"Homem","Nao","Dom","Jantar",2
13.13,2,"Homem","Nao","Dom","Jantar",2
17.26,2.74,"Homem","Nao","Dom","Jantar",3
24.55,2,"Homem","Nao","Dom","Jantar",4
19.77,2,"Homem","Nao","Dom","Jantar",4
29.85,5.14,"Mulher","Nao","Dom","Jantar",5
48.17,5,"Homem","Nao","Dom","Jantar",6
25,3.75,"Mulher","Nao","Dom","Jantar",4
13.39,2.61,"Mulher","Nao","Dom","Jantar",2
16.49,2,"Homem","Nao","Dom","Jantar",4
21.5,3.5,"Homem","Nao","Dom","Jantar",4
12.66,2.5,"Homem","Nao","Dom","Jantar",2
16.21,2,"Mulher","Nao","Dom","Jantar",3
13.81,2,"Homem","Nao","Dom","Jantar",2
17.51,3,"Mulher","Sim","Dom","Jantar",2
24.52,3.48,"Homem","Nao","Dom","Jantar",3
20.76,2.24,"Homem","Nao","Dom","Jantar",2
31.71,4.5,"Homem","Nao","Dom","Jantar",4
10.59,1.61,"Mulher","Sim","Sab","Jantar",2
10.63,2,"Mulher","Sim","Sab","Jantar",2
50.81,10,"Homem","Sim","Sab","Jantar",3
15.81,3.16,"Homem","Sim","Sab","Jantar",2
7.25,5.15,"Homem","Sim","Dom","Jantar",2
31.85,3.18,"Homem","Sim","Dom","Jantar",2
16.82,4,"Homem","Sim","Dom","Jantar",2
32.9,3.11,"Homem","Sim","Dom","Jantar",2
17.89,2,"Homem","Sim","Dom","Jantar",2
14.48,2,"Homem","Sim","Dom","Jantar",2
9.6,4,"Mulher","Sim","Dom","Jantar",2
34.63,3.55,"Homem","Sim","Dom","Jantar",2
34.65,3.68,"Homem","Sim","Dom","Jantar",4
23.33,5.65,"Homem","Sim","Dom","Jantar",2
45.35,3.5,"Homem","Sim","Dom","Jantar",3
23.17,6.5,"Homem","Sim","Dom","Jantar",4
40.55,3,"Homem","Sim","Dom","Jantar",2
20.69,5,"Homem","Nao","Dom","Jantar",5
20.9,3.5,"Mulher","Sim","Dom","Jantar",3
30.46,2,"Homem","Sim","Dom","Jantar",5
18.15,3.5,"Mulher","Sim","Dom","Jantar",3
23.1,4,"Homem","Sim","Dom","Jantar",3
15.69,1.5,"Homem","Sim","Dom","Jantar",2
19.81,4.19,"Mulher","Sim","Qui","Almoço",2
28.44,2.56,"Homem","Sim","Qui","Almoço",2
15.48,2.02,"Homem","Sim","Qui","Almoço",2
16.58,4,"Homem","Sim","Qui","Almoço",2
7.56,1.44,"Homem","Nao","Qui","Almoço",2
10.34,2,"Homem","Sim","Qui","Almoço",2
43.11,5,"Mulher","Sim","Qui","Almoço",4
13,2,"Mulher","Sim","Qui","Almoço",2
13.51,2,"Homem","Sim","Qui","Almoço",2
18.71,4,"Homem","Sim","Qui","Almoço",3
12.74,2.01,"Mulher","Sim","Qui","Almoço",2
13,2,"Mulher","Sim","Qui","Almoço",2
16.4,2.5,"Mulher","Sim","Qui","Almoço",2
20.53,4,"Homem","Sim","Qui","Almoço",4
16.47,3.23,"Mulher","Sim","Qui","Almoço",3
26.59,3.41,"Homem","Sim","Sab","Jantar",3
38.73,3,"Homem","Sim","Sab","Jantar",4
24.27,2.03,"Homem","Sim","Sab","Jantar",2
12.76,2.23,"Mulher","Sim","Sab","Jantar",2
30.06,2,"Homem","Sim","Sab","Jantar",3
25.89,5.16,"Homem","Sim","Sab","Jantar",4
48.33,9,"Homem","Nao","Sab","Jantar",4
13.27,2.5,"Mulher","Sim","Sab","Jantar",2
28.17,6.5,"Mulher","Sim","Sab","Jantar",3
12.9,1.1,"Mulher","Sim","Sab","Jantar",2
28.15,3,"Homem","Sim","Sab","Jantar",5
11.59,1.5,"Homem","Sim","Sab","Jantar",2
7.74,1.44,"Homem","Sim","Sab","Jantar",2
30.14,3.09,"Mulher","Sim","Sab","Jantar",4
12.16,2.2,"Homem","Sim","Sex","Almoço",2
13.42,3.48,"Mulher","Sim","Sex","Almoço",2
8.58,1.92,"Homem","Sim","Sex","Almoço",1
15.98,3,"Mulher","Nao","Sex","Almoço",3
13.42,1.58,"Homem","Sim","Sex","Almoço",2
16.27,2.5,"Mulher","Sim","Sex","Almoço",2
10.09,2,"Mulher","Sim","Sex","Almoço",2
20.45,3,"Homem","Nao","Sab","Jantar",4
13.28,2.72,"Homem","Nao","Sab","Jantar",2
22.12,2.88,"Mulher","Sim","Sab","Jantar",2
24.01,2,"Homem","Sim","Sab","Jantar",4
15.69,3,"Homem","Sim","Sab","Jantar",3
11.61,3.39,"Homem","Nao","Sab","Jantar",2
10.77,1.47,"Homem","Nao","Sab","Jantar",2
15.53,3,"Homem","Sim","Sab","Jantar",2
10.07,1.25,"Homem","Nao","Sab","Jantar",2
12.6,1,"Homem","Sim","Sab","Jantar",2
32.83,1.17,"Homem","Sim","Sab","Jantar",2
35.83,4.67,"Mulher","Nao","Sab","Jantar",3
29.03,5.92,"Homem","Nao","Sab","Jantar",3
27.18,2,"Mulher","Sim","Sab","Jantar",2
22.67,2,"Homem","Sim","Sab","Jantar",2
17.82,1.75,"Homem","Nao","Sab","Jantar",2
18.78,3,"Mulher","Nao","Qui","Jantar",2

